epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2661,0.79921,1.32007,1.23495,0.70396,0.70116,0.71438,0.52574,1.24588,1.24698,1.31377,0.000549052,0.000549052,0.000549052
2,43.8591,0.75421,0.88257,1.17528,0.39857,0.63077,0.62109,0.4668,1.4289,3.33838,1.50228,0.00108284,0.00108284,0.00108284
3,60.9134,0.79332,0.88702,1.1963,0.78812,0.65612,0.70565,0.49205,1.20606,1.50112,1.25127,0.00159463,0.00159463,0.00159463
4,77.4067,0.72438,0.80391,1.15092,0.53418,0.68994,0.64254,0.48065,1.19353,1.95966,1.12399,0.00156798,0.00156798,0.00156798
5,93.1998,0.67114,0.75453,1.12834,0.60576,0.68128,0.74115,0.54336,1.39453,2.22707,1.26496,0.00153497,0.00153497,0.00153497
6,108.929,0.64177,0.70502,1.11267,0.76947,0.7741,0.84243,0.64815,1.00914,0.96088,0.9982,0.00150197,0.00150197,0.00150197
7,124.194,0.61884,0.65798,1.09707,0.61256,0.78226,0.82293,0.56416,1.15609,1.17178,1.06836,0.00146896,0.00146896,0.00146896
8,140.139,0.60584,0.64812,1.08897,0.81622,0.8,0.86508,0.66967,1.03841,0.94397,1.01189,0.00143595,0.00143595,0.00143595
9,156.399,0.58543,0.59785,1.07998,0.89652,0.80045,0.86491,0.67058,1.05663,0.85028,1.02577,0.00140295,0.00140295,0.00140295
10,173.435,0.54913,0.58737,1.06242,0.83861,0.85208,0.87705,0.6636,1.10749,0.84374,1.00468,0.00136994,0.00136994,0.00136994
11,190.622,0.56869,0.57975,1.06573,0.85748,0.86376,0.91653,0.69727,1.0357,0.91868,1.00303,0.00133693,0.00133693,0.00133693
12,207.627,0.57042,0.56405,1.0683,0.8834,0.83752,0.89064,0.68922,0.96137,0.76681,0.92084,0.00130393,0.00130393,0.00130393
13,224.342,0.52512,0.55526,1.04754,0.91501,0.83565,0.89732,0.7153,0.89613,0.7551,0.8745,0.00127092,0.00127092,0.00127092
14,243.106,0.53821,0.54984,1.0556,0.85195,0.84946,0.88011,0.70051,0.96553,0.71513,0.93841,0.00123791,0.00123791,0.00123791
15,259.312,0.52169,0.50134,1.05458,0.86656,0.8869,0.90071,0.72276,0.91478,0.6165,0.89382,0.00120491,0.00120491,0.00120491
16,276.023,0.53083,0.50935,1.05015,0.86975,0.8684,0.89989,0.70883,0.9755,0.66723,0.93,0.0011719,0.0011719,0.0011719
17,292.673,0.52105,0.50679,1.04886,0.90326,0.85196,0.89289,0.72256,0.8783,0.68294,0.82097,0.00113889,0.00113889,0.00113889
18,309.598,0.49176,0.48393,1.0271,0.92337,0.86273,0.92595,0.75308,0.80015,0.60589,0.81578,0.00110589,0.00110589,0.00110589
19,326.13,0.52098,0.4748,1.04297,0.67317,0.85215,0.83701,0.64823,0.96669,0.82284,0.91913,0.00107288,0.00107288,0.00107288
20,342.006,0.51234,0.48872,1.03657,0.93432,0.82286,0.90395,0.72206,0.97946,0.66872,0.89751,0.00103987,0.00103987,0.00103987
21,357.45,0.50366,0.47742,1.02806,0.94712,0.88414,0.93148,0.73096,0.95653,0.59609,0.86098,0.00100687,0.00100687,0.00100687
