epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6772,1.48625,2.07027,1.54683,0.64215,0.52695,0.56144,0.35227,1.32677,1.59294,1.46562,0.000302044,0.000302044,0.000302044
2,129.52,1.45899,1.63098,1.54902,0.68426,0.57043,0.60241,0.39104,1.29855,1.50396,1.50595,0.000585078,0.000585078,0.000585078
3,188.438,1.44236,1.60587,1.54349,0.51509,0.6553,0.63386,0.40804,1.29391,1.32921,1.49762,0.000848113,0.000848113,0.000848113
4,248.091,1.40312,1.51426,1.50941,0.85024,0.56321,0.68039,0.44482,1.26747,1.17629,1.48242,0.000819009,0.000819009,0.000819009
5,307.656,1.35268,1.42468,1.47722,0.73549,0.68542,0.70432,0.50528,1.08881,1.14044,1.32625,0.000789012,0.000789012,0.000789012
6,365.486,1.3087,1.32661,1.44005,0.69767,0.77588,0.74154,0.52639,1.11504,0.88455,1.349,0.000759015,0.000759015,0.000759015
7,424.106,1.27907,1.28485,1.42633,0.72337,0.78499,0.76163,0.56616,1.019,0.81598,1.30196,0.000729018,0.000729018,0.000729018
8,483.482,1.2371,1.21652,1.39775,0.80098,0.73491,0.76178,0.55548,1.0416,0.82926,1.28757,0.000699021,0.000699021,0.000699021
9,542.809,1.21972,1.19278,1.38835,0.69106,0.80409,0.79112,0.58148,1.00249,0.74927,1.25481,0.000669024,0.000669024,0.000669024
10,601.695,1.19648,1.13674,1.37018,0.67831,0.81285,0.77789,0.5845,0.98643,0.76806,1.22674,0.000639027,0.000639027,0.000639027
11,660.534,1.16868,1.10042,1.35452,0.78124,0.77691,0.80931,0.61288,0.92758,0.69499,1.19353,0.00060903,0.00060903,0.00060903
12,719.316,1.14021,1.05081,1.33334,0.76704,0.83831,0.82021,0.61872,0.94772,0.65951,1.21693,0.000579033,0.000579033,0.000579033
13,777.712,1.12732,1.04483,1.32543,0.76756,0.84619,0.82198,0.62974,0.89608,0.64379,1.18546,0.000549036,0.000549036,0.000549036
14,835.798,1.1128,1.01214,1.32056,0.75526,0.8227,0.81996,0.61422,0.95347,0.63323,1.24103,0.000519039,0.000519039,0.000519039
15,893.853,1.09361,0.97514,1.30425,0.78494,0.85426,0.8375,0.65229,0.85652,0.57599,1.14534,0.000489042,0.000489042,0.000489042
16,952.011,1.07787,0.97399,1.29104,0.73494,0.85709,0.82668,0.63949,0.87656,0.5993,1.15502,0.000459045,0.000459045,0.000459045
17,1010.7,1.06679,0.93565,1.27471,0.80437,0.84155,0.8435,0.65674,0.86042,0.61457,1.14069,0.000429048,0.000429048,0.000429048
18,1069.68,1.04737,0.92043,1.26701,0.8224,0.85935,0.85065,0.65472,0.90072,0.59083,1.19676,0.000399051,0.000399051,0.000399051
19,1129.48,1.02952,0.89275,1.26419,0.81318,0.84482,0.84757,0.65164,0.88629,0.55792,1.16576,0.000369054,0.000369054,0.000369054
20,1188.63,1.01863,0.87165,1.25017,0.82074,0.86945,0.86636,0.68351,0.83289,0.53842,1.13703,0.000339057,0.000339057,0.000339057
21,1246.87,0.97809,0.68377,1.27096,0.8346,0.85973,0.86655,0.68807,0.82197,0.52498,1.12318,0.00030906,0.00030906,0.00030906
22,1304.3,0.95005,0.64236,1.24303,0.84813,0.85743,0.87638,0.69884,0.81282,0.51397,1.12011,0.000279063,0.000279063,0.000279063
23,1362.16,0.91972,0.61916,1.23157,0.82849,0.8927,0.87617,0.6983,0.80689,0.50529,1.12416,0.000249066,0.000249066,0.000249066
24,1419.46,0.89036,0.5918,1.20855,0.84422,0.88757,0.90026,0.72093,0.80019,0.47553,1.11359,0.000219069,0.000219069,0.000219069
25,1474.42,0.86591,0.56926,1.18772,0.87239,0.87498,0.8978,0.72057,0.79588,0.47261,1.111,0.000189072,0.000189072,0.000189072
26,1530.81,0.85603,0.54909,1.17924,0.85486,0.88328,0.90198,0.72744,0.78091,0.46817,1.10762,0.000159075,0.000159075,0.000159075
27,1586.99,0.83305,0.52509,1.16116,0.89048,0.86932,0.90414,0.73349,0.76211,0.45301,1.08222,0.000129078,0.000129078,0.000129078
28,1643.96,0.81179,0.50434,1.1428,0.8769,0.90329,0.90782,0.73953,0.75439,0.44366,1.0804,9.9081e-05,9.9081e-05,9.9081e-05
29,1700.47,0.79313,0.48709,1.1325,0.88555,0.88382,0.91178,0.74413,0.7649,0.43874,1.09015,6.9084e-05,6.9084e-05,6.9084e-05
30,1757.53,0.77402,0.47904,1.11858,0.89766,0.89611,0.91746,0.75226,0.73455,0.42239,1.06317,3.9087e-05,3.9087e-05,3.9087e-05
