epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5964,1.20297,1.61263,1.38933,0.65703,0.60583,0.62269,0.41744,1.19013,1.43126,1.45679,0.000551221,0.000551221,0.000551221
2,55.0467,1.22033,1.23175,1.36876,0.28496,0.5338,0.20836,0.09651,1.41268,4.41421,1.6058,0.00103383,0.00103383,0.00103383
3,80.0089,1.19072,1.15624,1.34309,0.70011,0.62821,0.68724,0.45375,1.19271,1.26964,1.38876,0.0014431,0.0014431,0.0014431
4,102.946,1.1492,1.1138,1.31638,0.6936,0.66737,0.69671,0.4713,1.13087,1.20579,1.31548,0.00133693,0.00133693,0.00133693
5,125.125,1.1024,1.0288,1.27675,0.69143,0.70232,0.72821,0.50038,1.08033,0.98345,1.24136,0.00122691,0.00122691,0.00122691
6,151.235,1.06468,0.9148,1.27525,0.86002,0.65035,0.76601,0.5369,1.06967,0.94833,1.33608,0.00111689,0.00111689,0.00111689
7,173.505,1.03001,0.90609,1.26029,0.80702,0.72984,0.81987,0.58831,0.9955,0.84576,1.21537,0.00100687,0.00100687,0.00100687
8,196.204,0.95406,0.79245,1.20642,0.84967,0.74559,0.84167,0.60792,0.95465,0.73752,1.19731,0.000896846,0.000896846,0.000896846
9,219.161,0.92358,0.75907,1.17644,0.80734,0.70629,0.79283,0.58275,0.93818,0.82787,1.21505,0.000786824,0.000786824,0.000786824
10,242.581,0.90037,0.733,1.17452,0.89658,0.79766,0.86445,0.6645,0.84827,0.67074,1.12149,0.000676802,0.000676802,0.000676802
11,264.691,0.85272,0.6569,1.1395,0.83857,0.81561,0.85595,0.64605,0.89689,0.62449,1.18387,0.00056678,0.00056678,0.00056678
12,287.185,0.82797,0.61418,1.12662,0.87467,0.80728,0.8724,0.65787,0.85196,0.60661,1.15773,0.000456758,0.000456758,0.000456758
13,311.162,0.79933,0.6021,1.11099,0.89583,0.77658,0.878,0.68121,0.76585,0.53496,1.10758,0.000346736,0.000346736,0.000346736
14,334.705,0.77454,0.54441,1.08374,0.96807,0.7828,0.89483,0.6901,0.77534,0.51937,1.10613,0.000236714,0.000236714,0.000236714
15,357.039,0.73854,0.52401,1.06348,0.91174,0.78998,0.89203,0.70257,0.7236,0.51962,1.08328,0.000126692,0.000126692,0.000126692
